voce del verbo,forma,modo,tempo,persona,coniugazione,forma verbale,traduzione
lego,attiva,indicativo,futuro,3a plu.,terza,legent,essi leggeranno
audio,attiva,indicativo,futuro,1a sing.,quarta,audiam,io ascolterò
audio,attiva,indicativo,futuro,2a sing.,quarta,audies,tu ascolterai
audio,attiva,indicativo,futuro,3a sing.,quarta,audiet,egli ascolterà
audio,attiva,indicativo,futuro,1a plu.,quarta,audiemus,noi ascolteremo
audio,attiva,indicativo,futuro,2a plu.,quarta,audietis,voi ascolterete
audio,attiva,indicativo,futuro,3a plu.,quarta,audient,essi ascolteranno
capio,attiva,indicativo,futuro,1a sing.,mista,capiam,io prenderò
capio,attiva,indicativo,futuro,2a sing.,mista,capies,tu prenderai
capio,attiva,indicativo,futuro,3a sing.,mista,capiet,egli prenderà
capio,attiva,indicativo,futuro,1a plu.,mista,capiemus,noi prenderemo
capio,attiva,indicativo,futuro,2a plu.,mista,capietis,voi prenderete
capio,attiva,indicativo,futuro,3a plu.,mista,capient,essi prenderanno
laudo,passiva,indicativo,futuro,1a sing.,prima,laudabor,io sarò lodato
laudo,passiva,indicativo,futuro,2a sing.,prima,laudaberis,tu sarai lodato
laudo,passiva,indicativo,futuro,3a sing.,prima,laudabitur,egli sarà lodato
laudo,passiva,indicativo,futuro,1a plu.,prima,laudabimur,noi saremo lodati
laudo,passiva,indicativo,futuro,2a plu.,prima,laudabimini,voi sarete lodati
laudo,passiva,indicativo,futuro,3a plu.,prima,laudabuntur,essi saranno lodati
moneo,passiva,indicativo,futuro,1a sing.,seconda,monebor,io sarò ammonito
moneo,passiva,indicativo,futuro,2a sing.,seconda,moneberis,tu sarai ammonito
moneo,passiva,indicativo,futuro,3a sing.,seconda,monebitur,egli sarà ammonito
moneo,passiva,indicativo,futuro,1a plu.,seconda,monebimur,noi saremo ammoniti
moneo,passiva,indicativo,futuro,2a plu.,seconda,monebimini,voi sarete ammoniti
moneo,passiva,indicativo,futuro,3a plu.,seconda,monebuntur,essi saranno ammoniti
lego,passiva,indicativo,futuro,1a sing.,terza,legebor,io sarò letto
lego,passiva,indicativo,futuro,2a sing.,terza,legeberis,tu sarai letto
lego,passiva,indicativo,futuro,3a sing.,terza,legetur,egli sarà letto
lego,passiva,indicativo,futuro,1a plu.,terza,legemur,noi saremo letti
lego,passiva,indicativo,futuro,2a plu.,terza,legemini,voi sarete letti
lego,passiva,indicativo,futuro,3a plu.,terza,legentur,essi saranno letti
audio,passiva,indicativo,futuro,1a sing.,quarta,audiamur,noi saremo ascoltati
audio,passiva,indicativo,futuro,2a sing.,quarta,audiemini,voi sarete ascoltati
audio,passiva,indicativo,futuro,3a sing.,quarta,audietur,egli sarà ascoltato
