coniugazione,verbo,traduzione
III coniugazione,fundo  -is  -ĕre,versare  spargere
III coniugazione,instrŭo  -is  -ĕre,disporre  schierare
III coniugazione,neglĕgo  -is  -ĕre,trascurare
IV coniugazione,intervĕnio  -is  -īre,sopraggiungere
IV coniugazione,opĕrio  -is  -īre,nascondere  coprire  chiudere
coniugazione mista,conspĭcio  -is  -ĕre,guardare  scorgere
coniugazione mista,fodio  -is  -ĕre,scavare
coniugazione mista,interfĭcio  -is  -ĕre,uccidere
AVVERBI,noctu,di notte
AVVERBI,olim,un tempo  una volta
AVVERBI,tunc,allora
AVVERBI,tum,allora  dopo  inoltre
I coniugazione,agĭto  -as  -āre,inseguire  cacciare  mettere in movimento
I coniugazione,culpo  -as  -āre,incolpare
I coniugazione,iuro  -as  -āre,giurare
I coniugazione,remĕo  -as  -āre,ritornare
I coniugazione,sto  -as  -āre,stare  stare in piedi
II coniugazione,deleo  -es  -ēre,distruggere  eliminare
II coniugazione,praebeo  -es  -ēre,offrire  porgere
III coniugazione,cognosco  -is  -ĕre,conoscere
III coniugazione,disco  -is  -ĕre,imparare
III coniugazione,fīgo  -is  -ĕre,trafiggere  conficcare
IV coniugazione,aperio  -is  -īre,aprire  rivelare
IV coniugazione,coniugazione mista,
IV coniugazione,decĭpio  -is  -ĕre,ingannare
IV coniugazione,rapio  -is  -ĕre,rapire  strappare
AVVERBI DI TEMPO,antiquĭtus,anticamente
AVVERBI DI TEMPO,cras,domani
AVVERBI DI TEMPO,heri,ieri
AVVERBI DI TEMPO,hodie,oggi
AVVERBI DI TEMPO,mox,tra poco  presto
AVVERBI DI TEMPO,noctu,di notte
AVVERBI DI TEMPO,nondum,non ancora
AVVERBI DI TEMPO,numquam,mai
AVVERBI DI TEMPO,nunc,ora  adesso
AVVERBI DI TEMPO,olim,un tempo  una volta  un giorno
AVVERBI DI TEMPO,postea,poi  dopo
AVVERBI DI TEMPO,saepe,spesso
AVVERBI DI TEMPO,statim,subito
AVVERBI DI TEMPO,tandem,finalmente





